

Opponent career totals against Dallas (since 95-96)

For games from 95-96 through 03-04.
Note: the program can't distinguish from players with the same
first and last name (ie, Charles Smith) so their stats are combined
The totals lines, obviously, mean nothing.


Player          GP  PTS  AVG  REB  AVG  AST  AVG
John Crotty     10   47  4.7   15  1.5   25  2.5
Terry Cummings  11   89  8.1   64  5.8   13  1.2
V. Cummings      9   72  8.0   18  2.0   37  4.1
Bill Curley      4   10  2.5    7  1.8    0  0.0
Dell Curry       8  104 13.0   27  3.4   18  2.2
Eddy Curry       5   34  6.8   20  4.0    2  0.4
Michael Curry   15   72  4.8   23  1.5   20  1.3
R. Cvetkovic     1    0  0.0    1  1.0    0  0.0
S. Dalembert     2   30 15.0   25 12.5    0  0.0
Erick Dampier   23  212  9.2  164  7.1   27  1.2
Anthony Daniels  5   35  7.0    9  1.8   12  2.4
Antonio Daniels 22  172  7.8   44  2.0   65  3.0
Sasha Danilovic  3   29  9.7    4  1.3    8  2.7
Yinka Dare       3    5  1.7    3  1.0    0  0.0
Kornel David     4   30  7.5   13  3.2    4  1.0
